pitch_type,release_speed,player_name,pitcher,p_throws,balls,strikes,inning,inning_topbot,launch_angle,launch_speed,effective_speed,iso_value,woba_value,estimated_woba_using_speedangle,estimated_ba_using_speedangle,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,events,n_priorpa_thisgame_player_at_bat,zone
PO,90.2,"Hill, Derek",608723,R,0,1,4,Bot,,,90.0,,,,,,-0.034,,,1,12
ST,77.7,"Hill, Derek",608723,R,0,0,4,Bot,,,77.3,,,,,,0.043,,,1,4
FC,86.5,"Acuña, Luisangel",608723,R,3,1,4,Bot,6.0,99.3,86.8,0.0,0.9,0.549,0.589,0.673,-0.258,99.3,single,1,6
FC,84.9,"Acuña, Luisangel",608723,R,3,0,4,Bot,,,85.4,,,,,,0.09,,,1,12
FF,91.1,"Acuña, Luisangel",608723,R,2,0,4,Bot,,,91.3,,,,,,-0.152,,,1,11
CU,74.0,"Acuña, Luisangel",608723,R,1,0,4,Bot,,,73.3,,,,,,-0.077,,,1,11
ST,80.7,"Acuña, Luisangel",608723,R,0,0,4,Bot,,,80.7,,,,,,-0.041,,,1,14
FC,88.8,"Giménez, Andrés",663436,R,0,0,4,Top,26.0,93.8,89.6,0.0,0.0,0.219,0.174,0.35,0.271,93.8,field_out,1,9
FF,93.5,"Clement, Ernie",663436,R,1,0,4,Top,15.0,97.0,93.8,0.0,0.9,0.772,0.803,0.992,-0.288,97.0,single,1,6
SI,93.0,"Clement, Ernie",663436,R,0,0,4,Top,,,93.0,,,,,,-0.037,,,1,11
SI,93.2,"Varsho, Daulton",663436,R,2,2,4,Top,,,92.9,0.0,0.0,0.0,,,0.228,,strikeout,1,2
CU,81.4,"Varsho, Daulton",663436,R,1,2,4,Top,,,81.0,,,,,,-0.048,,,1,11
FF,94.0,"Varsho, Daulton",663436,R,0,2,4,Top,,,94.0,,,,,,-0.017,,,1,11
CU,81.9,"Varsho, Daulton",663436,R,0,1,4,Top,-17.0,67.9,80.8,,,,,,0.052,88.0,,1,9
FF,93.7,"Varsho, Daulton",663436,R,0,0,4,Top,,,93.4,,,,,,0.039,,,1,3
SI,92.1,"Okamoto, Kazuma",663436,R,0,0,4,Top,42.0,96.2,91.8,0.0,0.0,0.023,0.017,0.046,0.259,96.2,field_out,1,5
ST,80.6,"Murray, Tanner",608723,R,2,2,3,Bot,81.0,76.5,80.6,0.0,0.0,0.003,0.003,0.003,0.196,88.0,field_out,1,3
ST,80.6,"Murray, Tanner",608723,R,2,1,3,Bot,,,79.8,,,,,,0.064,,,1,14
FF,92.5,"Murray, Tanner",608723,R,1,1,3,Bot,,,92.1,,,,,,-0.02,,,1,12
CU,75.3,"Murray, Tanner",608723,R,1,0,3,Bot,,,74.0,,,,,,0.044,,,1,14
FC,87.8,"Murray, Tanner",608723,R,0,0,3,Bot,,,88.1,,,,,,-0.019,,,1,14
FC,88.4,"Sosa, Lenyn",608723,R,1,1,3,Bot,15.0,101.7,88.1,1.0,1.25,0.679,0.654,0.934,-0.93,101.7,double,1,5
SI,91.8,"Sosa, Lenyn",608723,R,0,1,3,Bot,,,92.0,,,,,,-0.015,,,1,13
SI,91.5,"Sosa, Lenyn",608723,R,0,0,3,Bot,44.0,69.5,91.4,,,,,,0.04,88.0,,1,8
FC,86.7,"Quero, Edgar",608723,R,3,2,3,Bot,-33.0,94.1,86.9,0.0,0.0,0.049,0.054,0.063,0.383,94.1,field_out,1,5
FC,86.5,"Quero, Edgar",608723,R,2,2,3,Bot,,,86.1,,,,,,-0.098,,,1,12
CU,75.4,"Quero, Edgar",608723,R,1,2,3,Bot,,,74.2,,,,,,-0.044,,,1,14
FS,84.7,"Quero, Edgar",608723,R,0,2,3,Bot,,,84.4,,,,,,-0.01,,,1,11
CU,75.1,"Quero, Edgar",608723,R,0,1,3,Bot,,,74.1,,,,,,0.047,,,1,13
FC,85.8,"Quero, Edgar",608723,R,0,0,3,Bot,45.0,70.0,85.6,,,,,,0.04,88.0,,1,5
ST,79.8,"Vargas, Miguel",608723,R,0,1,3,Bot,29.0,93.2,80.1,0.0,0.0,0.195,0.131,0.339,0.199,93.2,field_out,1,14
FC,86.6,"Vargas, Miguel",608723,R,0,0,3,Bot,48.0,69.8,86.5,,,,,,0.043,88.0,,1,6
FF,88.3,"Murakami, Munetaka",641778,L,3,2,3,Bot,,,87.0,0.0,0.7,0.704716,,,-0.356,,walk,1,12
CH,82.2,"Murakami, Munetaka",641778,L,2,2,3,Bot,,,80.9,,,,,,-0.112,,,1,13
SL,80.3,"Murakami, Munetaka",641778,L,2,2,3,Bot,-23.0,92.8,79.5,,,,,,0.0,92.8,,1,14
FF,87.3,"Murakami, Munetaka",641778,L,2,1,3,Bot,,,86.6,,,,,,0.073,,,1,2
SL,78.5,"Murakami, Munetaka",641778,L,1,1,3,Bot,,,78.0,,,,,,-0.055,,,1,12
CH,80.3,"Murakami, Munetaka",641778,L,1,0,3,Bot,,,79.3,,,,,,0.05,,,1,8
CU,71.4,"Murakami, Munetaka",641778,L,0,0,3,Bot,,,70.4,,,,,,-0.041,,,1,13
SI,93.8,"Barger, Addison",663436,R,3,2,3,Top,-4.0,97.4,93.8,0.0,0.0,0.277,0.308,0.346,0.299,97.4,field_out,1,11
CU,84.0,"Barger, Addison",663436,R,2,2,3,Top,,,83.7,,,,,,-0.064,,,1,14
FF,96.0,"Barger, Addison",663436,R,2,2,3,Top,-19.0,77.7,96.0,,,,,,0.0,88.0,,1,14
SI,93.1,"Barger, Addison",663436,R,2,1,3,Top,-12.0,87.6,93.3,,,,,,0.051,88.0,,1,14
FC,90.6,"Barger, Addison",663436,R,2,0,3,Top,,,90.8,,,,,,0.03,,,1,2
SI,95.4,"Barger, Addison",663436,R,1,0,3,Top,,,95.8,,,,,,-0.029,,,1,14
FF,96.3,"Barger, Addison",663436,R,0,0,3,Top,,,96.5,,,,,,-0.032,,,1,12
FF,96.2,"Guerrero Jr., Vladimir",663436,R,3,2,3,Top,,,96.8,0.0,0.7,0.704716,,,-0.175,,walk,1,13
CU,82.2,"Guerrero Jr., Vladimir",663436,R,3,2,3,Top,-25.0,106.7,82.4,,,,,,0.0,106.7,,1,4
FF,96.2,"Guerrero Jr., Vladimir",663436,R,2,2,3,Top,,,96.5,,,,,,-0.062,,,1,11
SI,93.6,"Guerrero Jr., Vladimir",663436,R,2,1,3,Top,48.0,73.4,93.0,,,,,,0.05,88.0,,1,2
SL,88.1,"Guerrero Jr., Vladimir",663436,R,1,1,3,Top,,,87.8,,,,,,-0.03,,,1,14
FF,96.8,"Guerrero Jr., Vladimir",663436,R,1,0,3,Top,,,96.9,,,,,,0.037,,,1,8
SL,88.0,"Guerrero Jr., Vladimir",663436,R,0,0,3,Top,,,88.0,,,,,,-0.009,,,1,14
SI,93.9,"Lukes, Nathan",663436,R,0,0,3,Top,4.0,79.2,94.1,0.0,0.0,0.202,0.224,0.255,0.314,88.0,force_out,1,13
SL,86.4,"Springer, George",663436,R,0,1,3,Top,47.0,75.6,87.2,0.0,0.0,0.101,0.103,0.129,0.21,88.0,field_out,1,9
SL,88.4,"Springer, George",663436,R,0,0,3,Top,,,88.9,,,,,,0.053,,,1,14
FC,89.5,"Valenzuela, Brandon",663436,R,0,1,3,Top,11.0,101.2,89.9,0.0,0.9,0.886,0.911,1.132,-0.512,101.2,single,0,5
FF,94.8,"Valenzuela, Brandon",663436,R,0,0,3,Top,,,95.4,,,,,,0.043,,,0,5
CU,81.2,"Giménez, Andrés",663436,R,3,2,3,Top,,,81.2,0.0,0.7,0.704716,,,-0.356,,walk,0,11
FC,89.8,"Giménez, Andrés",663436,R,3,1,3,Top,24.0,87.9,90.2,,,,,,0.094,88.0,,0,1
SI,91.6,"Giménez, Andrés",663436,R,3,0,3,Top,,,92.0,,,,,,0.09,,,0,1
FC,89.9,"Giménez, Andrés",663436,R,2,0,3,Top,,,90.5,,,,,,-0.152,,,0,11
FF,93.3,"Giménez, Andrés",663436,R,1,0,3,Top,,,93.6,,,,,,-0.077,,,0,11
FF,93.3,"Giménez, Andrés",663436,R,0,0,3,Top,,,93.6,,,,,,-0.041,,,0,11
SL,81.3,"Hays, Austin",641778,L,0,0,2,Bot,2.0,102.6,80.5,0.0,0.0,0.479,0.514,0.578,0.277,102.6,force_out,1,6
CH,82.5,"Meidroth, Chase",641778,L,2,2,2,Bot,-6.0,78.7,81.7,0.0,0.0,0.072,0.08,0.085,0.284,88.0,force_out,1,14
SL,81.6,"Meidroth, Chase",641778,L,1,2,2,Bot,,,81.2,,,,,,-0.043,,,1,13
FF,88.5,"Meidroth, Chase",641778,L,1,1,2,Bot,35.0,74.4,87.4,,,,,,0.058,88.0,,1,12
CH,80.7,"Meidroth, Chase",641778,L,0,1,2,Bot,,,79.4,,,,,,-0.018,,,1,14
FF,89.0,"Meidroth, Chase",641778,L,0,0,2,Bot,,,87.9,,,,,,0.033,,,1,2
FF,88.1,"Hill, Derek",641778,L,3,1,2,Bot,,,86.8,0.0,0.7,0.704716,,,-0.144,,walk,0,12
SL,81.3,"Hill, Derek",641778,L,2,1,2,Bot,,,80.6,,,,,,-0.071,,,0,13
FF,88.2,"Hill, Derek",641778,L,1,1,2,Bot,,,86.5,,,,,,-0.063,,,0,12
SL,80.9,"Hill, Derek",641778,L,1,0,2,Bot,,,80.3,,,,,,0.056,,,0,13
CH,82.6,"Hill, Derek",641778,L,0,0,2,Bot,,,82.2,,,,,,-0.035,,,0,13
CH,81.0,"Acuña, Luisangel",641778,L,0,1,2,Bot,2.0,100.7,79.8,0.0,0.9,0.446,0.48,0.539,-0.453,100.7,single,0,1
FF,87.9,"Acuña, Luisangel",641778,L,0,0,2,Bot,,,86.7,,,,,,0.039,,,0,5
FF,86.7,"Murray, Tanner",641778,L,0,0,2,Bot,86.0,78.8,85.5,0.0,0.0,0.0,0.001,0.001,0.259,88.0,field_out,0,6
SL,87.5,"Clement, Ernie",663436,R,0,2,2,Top,,,87.2,0.0,0.0,0.0,,,0.16,,strikeout,0,14
FC,89.9,"Clement, Ernie",663436,R,0,1,2,Top,47.0,68.0,89.3,,,,,,0.057,88.0,,0,12
SI,94.7,"Clement, Ernie",663436,R,0,0,2,Top,,,94.6,,,,,,0.043,,,0,5
CU,82.4,"Varsho, Daulton",663436,R,2,2,2,Top,17.0,88.7,82.3,0.0,0.0,0.825,0.877,1.017,0.228,88.7,field_out,0,4
FF,94.2,"Varsho, Daulton",663436,R,2,1,2,Top,48.0,72.4,94.3,,,,,,0.07,88.0,,0,12
SI,92.6,"Varsho, Daulton",663436,R,1,1,2,Top,,,92.7,,,,,,-0.055,,,0,11
CU,84.1,"Varsho, Daulton",663436,R,0,1,2,Top,,,84.0,,,,,,-0.029,,,0,14
FC,89.9,"Varsho, Daulton",663436,R,0,0,2,Top,,,89.9,,,,,,0.039,,,0,4
CU,82.5,"Okamoto, Kazuma",663436,R,3,2,2,Top,,,82.6,0.0,0.0,0.0,,,0.345,,strikeout,0,9
SI,92.7,"Okamoto, Kazuma",663436,R,3,1,2,Top,70.0,76.5,92.9,,,,,,0.094,88.0,,0,11
SI,92.0,"Okamoto, Kazuma",663436,R,3,0,2,Top,,,91.7,,,,,,0.09,,,0,4
FF,93.1,"Okamoto, Kazuma",663436,R,2,0,2,Top,,,93.1,,,,,,-0.152,,,0,11
CH,91.4,"Okamoto, Kazuma",663436,R,1,0,2,Top,,,91.1,,,,,,-0.077,,,0,11
SI,92.3,"Okamoto, Kazuma",663436,R,0,0,2,Top,,,92.4,,,,,,-0.041,,,0,11
CH,82.9,"Sosa, Lenyn",641778,L,1,2,1,Bot,34.0,97.4,82.1,0.0,0.0,0.375,0.194,0.693,0.188,97.4,field_out,0,12
FF,89.2,"Sosa, Lenyn",641778,L,1,1,1,Bot,52.0,72.6,88.7,,,,,,0.056,88.0,,0,12
FF,88.9,"Sosa, Lenyn",641778,L,1,0,1,Bot,57.0,74.4,87.9,,,,,,0.037,88.0,,0,12
FF,89.3,"Sosa, Lenyn",641778,L,0,0,1,Bot,,,88.6,,,,,,-0.009,,,0,11
CH,82.1,"Quero, Edgar",641778,L,3,1,1,Bot,,,81.4,0.0,0.7,0.704716,,,-0.087,,walk,0,13
FF,88.8,"Quero, Edgar",641778,L,2,1,1,Bot,,,88.1,,,,,,-0.047,,,0,13
FC,86.7,"Quero, Edgar",641778,L,2,0,1,Bot,,,86.4,,,,,,0.048,,,0,3
FC,85.9,"Quero, Edgar",641778,L,1,0,1,Bot,,,85.3,,,,,,-0.024,,,0,12
CH,82.1,"Quero, Edgar",641778,L,0,0,1,Bot,,,81.4,,,,,,-0.028,,,0,12
FF,90.0,"Vargas, Miguel",641778,L,3,2,1,Bot,14.0,101.3,89.0,2.0,1.6,0.811,0.809,1.074,-0.85,101.3,triple,0,8
FC,86.4,"Vargas, Miguel",641778,L,3,1,1,Bot,,,85.7,,,,,,0.068,,,0,6
CH,82.4,"Vargas, Miguel",641778,L,2,1,1,Bot,,,81.7,,,,,,-0.047,,,0,13
CH,82.2,"Vargas, Miguel",641778,L,2,0,1,Bot,,,81.3,,,,,,0.048,,,0,2
FC,85.0,"Vargas, Miguel",641778,L,1,0,1,Bot,,,84.2,,,,,,-0.024,,,0,12
FF,89.1,"Vargas, Miguel",641778,L,0,0,1,Bot,,,88.0,,,,,,-0.028,,,0,12
FF,89.0,"Murakami, Munetaka",641778,L,3,2,1,Bot,-6.0,92.0,88.0,0.0,0.0,0.153,0.169,0.198,0.279,92.0,field_out,0,2
FF,89.5,"Murakami, Munetaka",641778,L,3,2,1,Bot,56.0,72.5,88.8,,,,,,0.0,88.0,,0,9
FC,84.2,"Murakami, Munetaka",641778,L,3,1,1,Bot,,,84.0,,,,,,0.068,,,0,7
FF,88.4,"Murakami, Munetaka",641778,L,3,0,1,Bot,,,87.3,,,,,,0.054,,,0,6
FF,88.5,"Murakami, Munetaka",641778,L,2,0,1,Bot,,,87.7,,,,,,-0.067,,,0,13
SL,80.3,"Murakami, Munetaka",641778,L,1,0,1,Bot,,,79.7,,,,,,-0.046,,,0,13
SL,81.0,"Murakami, Munetaka",641778,L,0,0,1,Bot,,,80.1,,,,,,-0.028,,,0,13
FF,87.9,"Hays, Austin",641778,L,1,0,1,Bot,-12.0,91.2,87.0,0.0,0.0,0.162,0.165,0.2,0.257,91.2,field_out,0,5
SL,83.1,"Hays, Austin",641778,L,0,0,1,Bot,,,82.0,,,,,,-0.032,,,0,12
CU,72.0,"Meidroth, Chase",641778,L,1,2,1,Bot,-5.0,86.1,71.1,1.0,1.25,0.163,0.173,0.192,-0.786,88.0,double,0,8
FC,83.3,"Meidroth, Chase",641778,L,1,1,1,Bot,82.0,71.2,82.1,,,,,,0.061,88.0,,0,1
FC,83.8,"Meidroth, Chase",641778,L,0,1,1,Bot,,,82.9,,,,,,-0.031,,,0,12
FF,86.6,"Meidroth, Chase",641778,L,0,0,1,Bot,,,85.2,,,,,,0.039,,,0,3
SI,94.1,"Barger, Addison",663436,R,3,1,1,Top,-34.0,76.5,94.0,0.0,0.0,0.048,0.052,0.053,0.389,88.0,field_out,0,13
CU,82.2,"Barger, Addison",663436,R,2,1,1,Top,,,81.8,,,,,,-0.079,,,0,8
FF,94.8,"Barger, Addison",663436,R,2,0,1,Top,13.0,116.4,94.7,,,,,,0.044,116.4,,0,6
FC,91.2,"Barger, Addison",663436,R,1,0,1,Top,,,91.3,,,,,,-0.048,,,0,14
FC,91.6,"Barger, Addison",663436,R,0,0,1,Top,,,91.9,,,,,,-0.035,,,0,13
CH,91.3,"Guerrero Jr., Vladimir",663436,R,2,2,1,Top,10.0,103.3,91.3,0.0,0.9,0.812,0.849,1.018,-0.362,103.3,single,0,8
FF,96.2,"Guerrero Jr., Vladimir",663436,R,2,2,1,Top,-38.0,88.8,96.3,,,,,,0.0,88.8,,0,5
SI,94.0,"Guerrero Jr., Vladimir",663436,R,2,1,1,Top,,,93.8,,,,,,0.073,,,0,8
SL,88.1,"Guerrero Jr., Vladimir",663436,R,1,1,1,Top,,,88.7,,,,,,-0.053,,,0,8
SI,93.3,"Guerrero Jr., Vladimir",663436,R,1,0,1,Top,,,93.1,,,,,,0.054,,,0,8
SL,87.6,"Guerrero Jr., Vladimir",663436,R,0,0,1,Top,,,87.7,,,,,,-0.037,,,0,14
FF,95.9,"Lukes, Nathan",663436,R,2,2,1,Top,,,95.7,0.0,0.0,0.0,,,0.228,,strikeout,0,5
FF,95.8,"Lukes, Nathan",663436,R,1,2,1,Top,,,95.8,,,,,,-0.048,,,0,11
CU,83.1,"Lukes, Nathan",663436,R,1,2,1,Top,25.0,39.3,82.4,,,,,,0.0,88.0,,0,14
FC,90.7,"Lukes, Nathan",663436,R,1,1,1,Top,55.0,68.1,90.8,,,,,,0.064,88.0,,0,5
FC,89.4,"Lukes, Nathan",663436,R,0,1,1,Top,,,89.3,,,,,,-0.029,,,0,11
FF,94.2,"Lukes, Nathan",663436,R,0,0,1,Top,,,94.5,,,,,,0.039,,,0,5
FF,95.1,"Springer, George",663436,R,1,2,1,Top,-23.0,87.8,95.4,0.0,0.0,0.073,0.073,0.088,0.189,88.0,field_out,0,2
CH,90.9,"Springer, George",663436,R,1,2,1,Top,88.0,74.2,90.3,,,,,,0.0,88.0,,0,4
SL,88.4,"Springer, George",663436,R,0,2,1,Top,,,88.0,,,,,,-0.024,,,0,14
SL,86.3,"Springer, George",663436,R,0,1,1,Top,,,85.7,,,,,,0.055,,,0,5
SI,93.5,"Springer, George",663436,R,0,0,1,Top,-38.0,,93.2,,,,,,0.039,,,0,4
